5.7174 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [2560, 1440]. Using actual size
6.3307 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
6.3319 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
6.3332 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
6.3345 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
6.3358 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
0.0002 	DATA 	START
1.7416 	DATA 	Keypress: escape
2.3436 	DATA 	Keypress: q
2.6134 	DATA 	Keypress: escape
2.7359 	DATA 	Keypress: q
2.8933 	DATA 	Keypress: escape
3.0358 	DATA 	Keypress: q
3.2143 	DATA 	Keypress: escape
3.3475 	DATA 	Keypress: q
3.5151 	DATA 	Keypress: escape
3.6378 	DATA 	Keypress: q
3.8066 	DATA 	Keypress: escape
3.9988 	DATA 	Keypress: q
4.1198 	DATA 	Keypress: escape
4.3327 	DATA 	Keypress: q
4.4443 	DATA 	Keypress: escape
4.6553 	DATA 	Keypress: q
4.7673 	DATA 	Keypress: escape
4.9809 	DATA 	Keypress: q
5.0706 	DATA 	Keypress: escape
5.2809 	DATA 	Keypress: q
5.4038 	DATA 	Keypress: escape
5.5485 	DATA 	Keypress: q
5.7281 	DATA 	Keypress: escape
5.8526 	DATA 	Keypress: q
6.0216 	DATA 	Keypress: escape
6.1572 	DATA 	Keypress: q
6.3038 	DATA 	Keypress: escape
6.4491 	DATA 	Keypress: q
6.6034 	DATA 	Keypress: escape
6.7594 	DATA 	Keypress: q
6.9158 	DATA 	Keypress: escape
7.0618 	DATA 	Keypress: q
7.2420 	DATA 	Keypress: escape
7.3315 	DATA 	Keypress: q
7.4783 	DATA 	Keypress: escape
7.6471 	DATA 	Keypress: q
7.8149 	DATA 	Keypress: escape
7.9535 	DATA 	Keypress: q
8.0136 	DATA 	Displaying Round 1 label
8.1088 	DATA 	Keypress: escape
8.2892 	DATA 	Keypress: q
8.4221 	DATA 	Keypress: escape
8.5428 	DATA 	Keypress: q
8.7004 	DATA 	Keypress: escape
8.8788 	DATA 	Keypress: q
9.0216 	DATA 	Keypress: escape
9.1646 	DATA 	Keypress: q
9.3222 	DATA 	Keypress: escape
9.4893 	DATA 	Keypress: q
9.6149 	DATA 	Keypress: escape
9.7731 	DATA 	Keypress: q
9.9331 	DATA 	Keypress: escape
10.0297 	DATA 	Starting Round 1
10.0620 	DATA 	Keypress: q
10.2034 	DATA 	Keypress: escape
10.3492 	DATA 	Keypress: q
10.4950 	DATA 	Keypress: escape
10.6509 	DATA 	Keypress: q
10.7978 	DATA 	Keypress: escape
10.9433 	DATA 	Keypress: q
11.0897 	DATA 	Keypress: escape
11.2228 	DATA 	Keypress: q
11.3900 	DATA 	Keypress: escape
11.5339 	DATA 	Keypress: q
11.6571 	DATA 	Keypress: escape
11.8231 	DATA 	Keypress: q
11.9680 	DATA 	Keypress: escape
12.1131 	DATA 	Keypress: q
12.2908 	DATA 	Keypress: escape
12.4238 	DATA 	Keypress: q
12.5779 	DATA 	Keypress: escape
12.7225 	DATA 	Keypress: q
12.9124 	DATA 	Keypress: escape
13.0240 	DATA 	Keypress: q
13.1939 	DATA 	Keypress: escape
13.3627 	DATA 	Keypress: q
13.5109 	DATA 	Keypress: escape
13.6577 	DATA 	Keypress: q
13.6894 	DATA 	round 1 - trial 0 - throw: 1to2 - FBALL
13.8299 	DATA 	Keypress: escape
13.9728 	DATA 	Keypress: q
14.1072 	DATA 	Keypress: escape
14.2652 	DATA 	Keypress: q
14.4120 	DATA 	Keypress: escape
14.5584 	DATA 	Keypress: q
14.6208 	DATA 	PLAYER HAS BALL
14.7150 	DATA 	Keypress: escape
14.8728 	DATA 	Keypress: q
