30.6559 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1366, 768]. Using actual size
32.7600 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
32.7616 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
32.7633 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
32.7648 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
32.7672 	WARNING 	TextStim.alignHoriz is deprecated. Use alignText and anchorHoriz attributes instead
0.0003 	DATA 	START
7.8059 	DATA 	Keypress: c
8.0051 	DATA 	Displaying Round 1 label
10.0195 	DATA 	Starting Round 1
11.2318 	DATA 	round 1 - trial 0 - throw: 1to3 - FBALL
11.7832 	DATA 	Keypress: b
12.0075 	DATA 	Keypress: b
14.2327 	DATA 	Keypress: c
14.2333 	DATA 	Keypress: c
14.4322 	DATA 	round 1 - trial 1 - throw: 3to2 - FBALL
15.3628 	DATA 	PLAYER HAS BALL
19.3592 	DATA 	Keypress: c
19.3594 	DATA 	PLAYER THROWS TO 3 - RT 3.9965
19.3594 	DATA 	round 1 - trial 2 - throw: 2to3 - FBALL
21.0793 	DATA 	Keypress: c
21.1440 	DATA 	round 1 - trial 3 - throw: 3to2 - FBALL
21.9705 	DATA 	PLAYER HAS BALL
22.2871 	DATA 	Keypress: c
22.2873 	DATA 	PLAYER THROWS TO 3 - RT 0.3167
22.2873 	DATA 	round 1 - trial 4 - throw: 2to3 - FBALL
23.6375 	DATA 	round 1 - trial 5 - throw: 3to1 - FBALL
23.6939 	DATA 	Keypress: c
27.5315 	DATA 	Keypress: b
27.5320 	DATA 	Keypress: b
27.5321 	DATA 	Keypress: b
27.7306 	DATA 	round 1 - trial 6 - throw: 1to2 - FBALL
28.6612 	DATA 	PLAYER HAS BALL
29.0395 	DATA 	Keypress: b
29.0396 	DATA 	PLAYER THROWS TO 1 - RT 0.3784
29.0396 	DATA 	round 1 - trial 7 - throw: 2to1 - FBALL
29.2791 	DATA 	Keypress: b
32.5263 	DATA 	Keypress: b
32.5265 	DATA 	Keypress: b
32.5269 	DATA 	Keypress: b
32.5270 	DATA 	Keypress: b
32.7255 	DATA 	round 1 - trial 8 - throw: 1to2 - FBALL
33.4075 	DATA 	Keypress: b
33.5548 	DATA 	PLAYER HAS BALL
34.0713 	DATA 	Keypress: b
34.0716 	DATA 	PLAYER THROWS TO 1 - RT 0.5168
34.0716 	DATA 	round 1 - trial 9 - throw: 2to1 - FBALL
34.4391 	DATA 	Keypress: b
36.2250 	DATA 	Keypress: b
36.2257 	DATA 	Keypress: b
36.2259 	DATA 	Keypress: b
36.4247 	DATA 	round 1 - trial 10 - throw: 1to2 - FBALL
37.2527 	DATA 	PLAYER HAS BALL
37.4794 	DATA 	Keypress: b
37.4795 	DATA 	PLAYER THROWS TO 1 - RT 0.2269
37.4796 	DATA 	round 1 - trial 11 - throw: 2to1 - FBALL
39.1937 	DATA 	Keypress: b
39.3933 	DATA 	round 1 - trial 12 - throw: 1to3 - FBALL
42.1216 	DATA 	Keypress: b
42.1218 	DATA 	Keypress: c
42.3207 	DATA 	round 1 - trial 13 - throw: 3to2 - FBALL
43.1484 	DATA 	PLAYER HAS BALL
43.9271 	DATA 	Keypress: c
43.9273 	DATA 	PLAYER THROWS TO 3 - RT 0.7789
43.9273 	DATA 	round 1 - trial 14 - throw: 2to3 - FBALL
45.7190 	DATA 	Keypress: c
45.9173 	DATA 	round 1 - trial 15 - throw: 3to1 - FBALL
47.4380 	DATA 	round 1 - trial 16 - throw: 1to3 - FBALL
48.2072 	DATA 	Keypress: b
50.6294 	DATA 	Keypress: b
50.6295 	DATA 	Keypress: c
50.6551 	DATA 	Keypress: c
